sample	SequinoG_2024_b__SRR27278107	SequinoG_2024_b__SRR27278118	SequinoG_2024_b__SRR27278121	SequinoG_2024_b__SRR27278122	SequinoG_2024_b__SRR27278123	SequinoG_2024_b__SRR27278124	SequinoG_2024_b__SRR27278125	SequinoG_2024_b__SRR27278126	SequinoG_2024_b__SRR27278127	SequinoG_2024_b__SRR27278128	SequinoG_2024_b__SRR27278129	SequinoG_2024_b__SRR27278130	SequinoG_2024_b__SRR27278131	SequinoG_2024_b__SRR27278132	SequinoG_2024_b__SRR27278133	SequinoG_2024_b__SRR27278134	SequinoG_2024_b__SRR27278135	SequinoG_2024_b__SRR27278136	SequinoG_2024_b__SRR27278137	SequinoG_2024_b__SRR27278139	SequinoG_2024_b__SRR27278140	SequinoG_2024_b__SRR27278141	SequinoG_2024_b__SRR27278142	SequinoG_2024_b__SRR27278143	SequinoG_2024_b__SRR27278144	SequinoG_2024_b__SRR27278145	SequinoG_2024_b__SRR27278146	SequinoG_2024_b__SRR27278147	SequinoG_2024_b__SRR27278148	SequinoG_2024_b__SRR27278149	SequinoG_2024_b__SRR27278150	SequinoG_2024_b__SRR27278151	SequinoG_2024_b__SRR27278152	SequinoG_2024_b__SRR27278153	SequinoG_2024_b__SRR27278154	SequinoG_2024_b__SRR27278155	SequinoG_2024_b__SRR27278156	SequinoG_2024_b__SRR27278157	SequinoG_2024_b__SRR27278158	SequinoG_2024_b__SRR27278159	SequinoG_2024_b__SRR27278160	SequinoG_2024_b__SRR27278161	SequinoG_2024_b__SRR27278162	SequinoG_2024_b__SRR27278163	SequinoG_2024_b__SRR27278164	SequinoG_2024_b__SRR27278165	SequinoG_2024_b__SRR27278166	SequinoG_2024_b__SRR27278167	SequinoG_2024_b__SRR27278168	SequinoG_2024_b__SRR27278177	SequinoG_2024_b__SRR27278188	SequinoG_2024_b__SRR27278197	SequinoG_2024_b__SRR27278204	SequinoG_2024_b__SRR27278215	SequinoG_2024_b__SRR27278228	SequinoG_2024_b__SRR27278229	SequinoG_2024_b__SRR27278230
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_cremoris|t__SGB7984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00856	0.0	0.00253	0.00551	0.0	0.0	0.0	0.0	0.0	0.00132	0.0	0.13626	0.0	0.0	0.0	0.0	1.2806	0.0	0.01521	0.0	3.49264	0.0	0.0	2.56517	0.0	0.13351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.00852	0.0	0.0	0.0	0.0	0.0	0.00641	0.0	1.17244	0.0	0.0	0.0	0.0	0.0	0.0	0.1416	0.0	0.03406	0.0	0.01265	0.0	0.0	0.0	0.0	0.0114	0.04326	0.0	0.0	0.0	0.0	0.0	0.13199	0.0	0.24803	0.0	0.00284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54641	0.0	0.26642
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes|t__SGB16955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.01218	0.0	0.0	0.00249	0.00569	0.0224	0.0142	0.06611	0.72731	0.00853	0.07545	2.33712	0.39962	0.3947	0.05753	0.12044	0.00407	0.02292	0.50647	0.12806	0.5113	0.0	1.68841	0.10399	0.18969	0.00744	0.06094	0.2895	0.02729	0.0	0.01873	0.01113	0.01349	0.34634	0.02264	0.00633	0.01354	0.62367	1.21116	0.237	0.5914	0.0	2.08374	0.473	0.14788	2.30119	0.13361	0.94957	0.01544	0.0	0.01725	0.20137	0.04528	0.08394	0.10112	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_equorum|t__SGB7843	0.0	0.00729	0.0	0.0	0.0	0.0	0.03274	0.00083	0.0	0.56445	0.0	0.0	0.0	0.0	0.00088	0.0	0.13711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00131	0.08476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04697	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07026	0.0	0.05831
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_xylosus|t__SGB7847_group	0.0	0.0	0.0	0.0	0.0	0.0	0.07989	0.06671	0.0	7.14108	0.0	0.0	0.0	0.0	0.08983	0.0	0.75377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17767	0.0	0.09714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00836	0.0	0.0	0.0	0.0	0.02448	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_nigrifaciens|t__SGB13904	0.0	0.0	0.0	0.0	0.0	0.0	0.15735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_helleri|t__SGB12098	0.0	0.0	0.0	0.0	0.46059	0.16275	0.35017	0.25203	0.0	0.0	0.0	0.0	0.0	0.0	0.12606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00164	0.0	0.0	0.20918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16419	0.0	0.00442	0.0	0.0	0.13332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37922	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_hibernica|t__SGB69387	0.0	1.27759	0.0	0.0	0.0	0.0	0.00855	0.0	0.0	0.16973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60982	0.0	0.0	0.0	0.05847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02167	0.0	0.0	0.0	0.0	0.06352	0.0	0.0	0.0	0.0	0.0	0.0	0.03734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	0.0	0.01916	0.0	0.00951	0.0	0.01741	0.42713	0.20783	0.0	2.93255	0.0	0.0	0.0474	0.25741	0.15069	0.0	0.81592	0.0	0.01133	0.03761	0.0978	0.14608	0.0	0.0699	0.16979	0.06627	0.18087	0.0	0.01241	0.0	0.0	0.46308	0.20339	0.0	0.34177	2.28164	0.01526	0.0	0.0	0.0	0.05681	0.0	0.11628	0.0	0.0	0.0	0.0	0.0	0.0	0.00588	0.0	0.21218	0.0	0.0109	0.62516	0.0	0.36093
