sample	SternesPR_2017__Control1_A_shotgun	SternesPR_2017__Control1_C_shotgun	SternesPR_2017__Control2_A_shotgun	SternesPR_2017__Control2_C_shotgun	SternesPR_2017__T1D1_A_shotgun	SternesPR_2017__T1D1_B_shotgun	SternesPR_2017__T2D1_A_shotgun	SternesPR_2017__T2D1_B_shotgun	SternesPR_2017__T2D3_A_shotgun	SternesPR_2017__T2D3_B_shotgun	SternesPR_2017__Y1D1_A_shotgun	SternesPR_2017__Y1D1_B_shotgun	SternesPR_2017__Y2D1_A_shotgun	SternesPR_2017__Y2D1_B_shotgun	SternesPR_2017__Y2D3_A_shotgun	SternesPR_2017__Y2D3_B_shotgun	SternesPR_2017__Y3D1_A_shotgun	SternesPR_2017__Y3D1_B_shotgun	SternesPR_2017__Y3D3_A_shotgun	SternesPR_2017__Y3D3_B_shotgun
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__SGB7985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00698	0.00437	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_paracasei|t__SGB7142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08814	0.09616	0.68843	0.83133	0.351	0.56702	0.04347	0.06361	0.02308	0.03993
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Debaryomyces|s__Debaryomyces_hansenii_group_1|t__EUK4959_1	79.2182	79.98148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactiplantibacillus|s__Lactiplantibacillus_plantarum|t__SGB7202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24321	0.23214	0.07082	0.07005	0.0	0.00663	0.17372	0.1967	0.04222	0.05133
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium_paulum|t__SGB93166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01118	0.01821	0.0	0.0
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_sojae|t__EUK52253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01007	0.01315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00069	0.00407	0.00558	0.00601	0.0	0.0	0.0961	0.10676	0.00442	0.01605
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00271	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Liquorilactobacillus|s__Liquorilactobacillus_nagelii|t__SGB7063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01323	0.01286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Schleiferilactobacillus|s__Schleiferilactobacillus_harbinensis|t__SGB7136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08832	0.08983	0.0	0.0
