MAG_id	dataset_id	sample_id	SGB_id	unknown	assigned_taxonomy_level	superkingdom	phylum	class	order	family	genus	species	genome_size	n_contigs	N50	completeness	contamination	GC_content
MASTER_WP4_FFoQSI_2__VB06-21__bin.15	MASTER_WP4_FFoQSI_2	VB06-21	SGB7985	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_lactis	2223745	327	9012	96.06073566	3.058712121	0.350622936
MASTER_WP4_FFoQSI_2__VB08-26__bin.1	MASTER_WP4_FFoQSI_2	VB08-26	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1151900	105	14435	68.69723435	0.465793304	0.39583818
MASTER_WP4_FFoQSI_2__VB08-25__bin.4	MASTER_WP4_FFoQSI_2	VB08-25	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1062852	112	14147	65.68413392	0.109170306	0.397169126
MASTER_WP4_FFoQSI_2__VB08-27__bin.4	MASTER_WP4_FFoQSI_2	VB08-27	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1029772	78	19192	63.56622999	0.291640674	0.395515706
MASTER_WP4_FFoQSI_2__VB16-22__bin.8	MASTER_WP4_FFoQSI_2	VB16-22	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1456880	160	12223	90.57028488	0.451237263	0.393508045
MASTER_WP4_FFoQSI_2__VB06-21__bin.13	MASTER_WP4_FFoQSI_2	VB06-21	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1444947	167	12522	92.26663939	0.513620295	0.394667071
MASTER_WP4_FFoQSI_2__VB06-26__bin.10	MASTER_WP4_FFoQSI_2	VB06-26	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1557917	188	11223	94.12317183	0.254730713	0.394018423
MASTER_WP4_FFoQSI_2__VB06-28__bin.9	MASTER_WP4_FFoQSI_2	VB06-28	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1260831	139	13006	75.75656755	0.644624662	0.394654002
MASTER_WP4_FFoQSI_2__VB01-25__bin.6	MASTER_WP4_FFoQSI_2	VB01-25	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1136471	188	7517	71.07662716	0.681014764	0.396644525
MASTER_WP4_FFoQSI_2__VB01-26__bin.2	MASTER_WP4_FFoQSI_2	VB01-26	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1395851	229	7695	90.88739863	1.769598669	0.394938285
MASTER_WP4_FFoQSI_2__VB04-26__bin.5	MASTER_WP4_FFoQSI_2	VB04-26	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1627838	175	14459	94.81752963	1.940112289	0.391438829
MASTER_WP4_FFoQSI_2__VB06-23__bin.3	MASTER_WP4_FFoQSI_2	VB06-23	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1204026	127	14232	74.55812019	0.622790601	0.397441583
MASTER_WP4_FFoQSI_2__VB06-25__bin.3	MASTER_WP4_FFoQSI_2	VB06-25	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1503293	175	11290	94.11312123	0.291120815	0.393357117
MASTER_WP4_FFoQSI_2__VB15-21__bin.10	MASTER_WP4_FFoQSI_2	VB15-21	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	823415	65	16491	50.43425522	0.062383032	0.395636465
MASTER_WP4_FFoQSI_2__VB16-24__bin.4	MASTER_WP4_FFoQSI_2	VB16-24	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	838208	95	12842	52.86719346	0.305676856	0.396965908
MASTER_WP4_FFoQSI_2__VB16-25__bin.3	MASTER_WP4_FFoQSI_2	VB16-25	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	1057852	119	11159	64.95286615	0.353503847	0.397547105
MASTER_WP4_FFoQSI_2__VB16-26__bin.2	MASTER_WP4_FFoQSI_2	VB16-26	SGB8002	kSGB	Species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_thermophilus	918579	108	11907	59.44063215	0.426284051	0.397770905
